run_id,video,video_sha256,config_id,pts_ms,cls,confidence,x1,y1,x2,y2,area_px,width_px,height_px,aspect,abstained,abstain_reason,usable,seat_state,track_id,event_id,crop_id,crop_config,fallback_reason,crop_native_px,magnification,slice_index,merged_from,calibration_version,pose_source
corpus_01,01.Candidate was found using a mobile phone in the examination hall..mkv,b842b03e5784d867e93770560d88150a526250df69077cd3065edbbd4c842098,dfine_native,54140.0,unknown_object,0.3676,871.81,457.53,1055.78,714.47,47269.5,183.97,256.94,0.716,False,,True,unattributed,1,evt_01-P02_desk_work_surface_0009,fc3f0b3b157f709b,native_source_context_fallback,wrist_confidence_below_floor,47546.7,2.47,,1,01/e1/v1,rtmpose_baseline
corpus_01,01.Candidate was found using a mobile phone in the examination hall..mkv,b842b03e5784d867e93770560d88150a526250df69077cd3065edbbd4c842098,dfine_native,54140.0,unknown_object,0.2859,922.55,457.14,1029.97,546.0,9544.6,107.42,88.86,1.209,False,,True,unattributed,1,evt_01-P02_desk_work_surface_0009,fc3f0b3b157f709b,native_source_context_fallback,wrist_confidence_below_floor,47546.7,2.47,,1,01/e1/v1,rtmpose_baseline
corpus_01,01.Candidate was found using a mobile phone in the examination hall..mkv,b842b03e5784d867e93770560d88150a526250df69077cd3065edbbd4c842098,dfine_native,54140.0,unknown_object,0.4279,925.5,457.11,1029.89,514.88,6030.6,104.38,57.77,1.807,False,,True,unattributed,1,evt_01-P02_desk_work_surface_0009,fc3f0b3b157f709b,native_source_context_fallback,wrist_confidence_below_floor,47546.7,2.47,,1,01/e1/v1,rtmpose_baseline
corpus_01,01.Candidate was found using a mobile phone in the examination hall..mkv,b842b03e5784d867e93770560d88150a526250df69077cd3065edbbd4c842098,dfine_native,54140.0,unknown_object,0.349,871.78,539.22,895.5,695.97,3718.7,23.72,156.75,0.151,False,,True,unattributed,1,evt_01-P02_desk_work_surface_0009,fc3f0b3b157f709b,native_source_context_fallback,wrist_confidence_below_floor,47546.7,2.47,,1,01/e1/v1,rtmpose_baseline
corpus_01,01.Candidate was found using a mobile phone in the examination hall..mkv,b842b03e5784d867e93770560d88150a526250df69077cd3065edbbd4c842098,dfine_native,54140.0,unknown_object,0.3974,925.76,457.12,1004.69,514.55,4533.0,78.93,57.43,1.375,False,,True,unattributed,1,evt_01-P02_desk_work_surface_0009,fc3f0b3b157f709b,native_source_context_fallback,wrist_confidence_below_floor,47546.7,2.47,,1,01/e1/v1,rtmpose_baseline
corpus_01,01.Candidate was found using a mobile phone in the examination hall..mkv,b842b03e5784d867e93770560d88150a526250df69077cd3065edbbd4c842098,dfine_native,54140.0,unknown_object,0.2725,922.77,457.18,1007.23,542.41,7199.1,84.46,85.24,0.991,False,,True,unattributed,1,evt_01-P02_desk_work_surface_0009,fc3f0b3b157f709b,native_source_context_fallback,wrist_confidence_below_floor,47546.7,2.47,,1,01/e1/v1,rtmpose_baseline
corpus_01,01.Candidate was found using a mobile phone in the examination hall..mkv,b842b03e5784d867e93770560d88150a526250df69077cd3065edbbd4c842098,dfine_native,54140.0,unknown_object,0.2506,871.84,537.74,910.98,700.31,6362.4,39.14,162.57,0.241,False,,True,unattributed,1,evt_01-P02_desk_work_surface_0009,fc3f0b3b157f709b,native_source_context_fallback,wrist_confidence_below_floor,47546.7,2.47,,1,01/e1/v1,rtmpose_baseline
corpus_01,01.Candidate was found using a mobile phone in the examination hall..mkv,b842b03e5784d867e93770560d88150a526250df69077cd3065edbbd4c842098,dfine_native,54140.0,unknown_object,0.2807,882.26,457.15,935.64,576.51,6370.9,53.38,119.36,0.447,False,,True,unattributed,1,evt_01-P02_desk_work_surface_0009,fc3f0b3b157f709b,native_source_context_fallback,wrist_confidence_below_floor,47546.7,2.47,,1,01/e1/v1,rtmpose_baseline
corpus_01,01.Candidate was found using a mobile phone in the examination hall..mkv,b842b03e5784d867e93770560d88150a526250df69077cd3065edbbd4c842098,dfine_native,54140.0,unknown_object,0.2523,871.94,540.45,983.99,714.95,19551.7,112.05,174.5,0.642,False,,True,unattributed,1,evt_01-P02_desk_work_surface_0009,fc3f0b3b157f709b,native_source_context_fallback,wrist_confidence_below_floor,47546.7,2.47,,1,01/e1/v1,rtmpose_baseline
corpus_01,01.Candidate was found using a mobile phone in the examination hall..mkv,b842b03e5784d867e93770560d88150a526250df69077cd3065edbbd4c842098,dfine_native,54140.0,unknown_object,0.2686,926.02,457.06,1005.72,486.24,2325.1,79.7,29.17,2.732,False,,True,unattributed,1,evt_01-P02_desk_work_surface_0009,fc3f0b3b157f709b,native_source_context_fallback,wrist_confidence_below_floor,47546.7,2.47,,1,01/e1/v1,rtmpose_baseline
corpus_01,01.Candidate was found using a mobile phone in the examination hall..mkv,b842b03e5784d867e93770560d88150a526250df69077cd3065edbbd4c842098,dfine_native,54140.0,unknown_object,0.3147,881.89,457.25,1004.64,600.11,17534.9,122.75,142.86,0.859,False,,True,unattributed,1,evt_01-P02_desk_work_surface_0009,fc3f0b3b157f709b,native_source_context_fallback,wrist_confidence_below_floor,47546.7,2.47,,1,01/e1/v1,rtmpose_baseline
